url,gram_c02,litres,energy,monthly_views
time-planet.com,5.0485060364477,2.8079790574722,0.011727437344519,10000
time-planet.com/fr,5.4628321285483,3.0384272298986,0.012689896981139,10000
time-planet.com/fr/accueil?mrasn=806883.1002327.wtmZEMSX,5.4489161743255,3.0306871761598,0.012657570887031,10000
time-planet.com/fr/devenir-actionnaire,1.5859652972257,0.88211389831691,0.0036841213062871,10000
time-planet.com/fr/innovations?status=submitted_to_evaluations,5.6588706067176,3.1474638314563,0.013145284961909,10000
time-planet.com/en,5.0061653661493,2.7844291766523,0.011629081998509,10000
time-planet.com/en/become-shareholder,1.5829488078945,0.88043612695093,0.0036771141462727,10000
time-planet.com/en/innovations,5.1927150976759,2.8881881373274,0.012062428076006,10000
time-planet.com/it,4.9712203125122,2.7649927378193,0.011547906315234,10000
time-planet.com/it/diventare-azionista,1.5830493393267,0.88049204253349,0.003677347675967,10000
time-planet.com/it/innovations,5.1929915591144,2.8883419051794,0.012063070282666,10000
time-planet.com/de,5.0478717049654,2.8076262423018,0.011725963822915,10000
time-planet.com/de/teilhaber-werden,1.5830886777132,0.88051392254406,0.0036774390571518,10000
time-planet.com/de/innovations?status=submitted_to_evaluations,5.6582832627525,3.1471371507429,0.013143920590053,10000
time-planet.com/es,5.0340994451266,2.7999661113794,0.011693971523969,10000
time-planet.com/es/eleccion-compra-acciones,0.53548449794189,0.29783647775528,0.0012439048013883,10000
time-planet.com/es/innovations,5.1931095742739,2.8884075452111,0.01206334442622,10000
time-planet.com/pl,5.0211341685774,2.7927548245628,0.011663853808492,10000
time-planet.com/pl/zostan-wpolnikiem,1.5980443673457,0.8888322771177,0.0037121804067399,10000
time-planet.com/pl/innovations?status=submitted_to_evaluations,5.6554760317829,3.1455757688776,0.013137399527174,10000
